layer,rotation,axis,bits,method,effective_bits,key_mse,ip_rmse,attn_kl,codebook_bits_per_value
0,none,token,2.5,uniform,2.585,285.40655518,1572.539551,1.13300574,0.0
0,none,token,2.5,nuq-quantile,2.585,479.2571106,628.752258,0.6161527,1.5
0,none,token,2.5,nuq-kmeans,2.585,72.96551514,102.742874,2.02134299,1.5
0,none,token,3.0,uniform,3.0,128.42648315,1082.937012,1.24967039,0.0
0,none,token,3.0,nuq-quantile,3.0,309.89526367,502.702698,2.03026986,2.0
0,none,token,3.0,nuq-kmeans,3.0,61.02934265,29.927273,4.40389442,2.0
0,none,token,3.5,uniform,3.4594,40.01419067,467.918793,8.75570965,0.0
0,none,token,3.5,nuq-quantile,3.4594,236.19976807,412.443878,2.49631524,2.75
0,none,token,3.5,nuq-kmeans,3.4594,46.95383453,31.592237,2.65596437,2.75
0,none,token,4.0,uniform,4.0,18.30912781,326.082489,0.83140165,0.0
0,none,token,4.0,nuq-quantile,4.0,175.13592529,262.46344,1.19860327,4.0
0,none,token,4.0,nuq-kmeans,4.0,36.40934753,32.794571,1.81061578,4.0
0,none,channel,2.5,uniform,2.585,0.85415292,1.132169,0.00843167,0.0
0,none,channel,2.5,nuq-quantile,2.585,0.06475609,1.496181,0.01703943,0.046875
0,none,channel,2.5,nuq-kmeans,2.585,0.04323051,1.082196,0.00775276,0.046875
0,none,channel,3.0,uniform,3.0,0.68104672,1.105761,0.00933864,0.0
0,none,channel,3.0,nuq-quantile,3.0,0.04343074,1.205332,0.01075118,0.0625
0,none,channel,3.0,nuq-kmeans,3.0,0.02717473,0.903322,0.00512124,0.0625
0,none,channel,3.5,uniform,3.4594,0.54828018,0.756881,0.0043559,0.0
0,none,channel,3.5,nuq-quantile,3.4594,0.0458466,1.111663,0.00961179,0.085938
0,none,channel,3.5,nuq-kmeans,3.4594,0.01968527,0.679936,0.00367627,0.085938
0,none,channel,4.0,uniform,4.0,0.41851526,0.439337,0.0014509,0.0
0,none,channel,4.0,nuq-quantile,4.0,0.01924445,0.590996,0.00238326,0.125
0,none,channel,4.0,nuq-kmeans,4.0,0.00871986,0.397082,0.00116476,0.125
0,rht,token,2.5,uniform,2.585,98.29161072,256.800537,60.76646042,0.0
0,rht,token,2.5,nuq-quantile,2.585,113.89037323,290.346954,17.30626297,1.5
0,rht,token,2.5,nuq-kmeans,2.585,55.37308121,110.547783,49.3276062,1.5
0,rht,token,3.0,uniform,3.0,49.99028397,371.475983,55.48635864,0.0
0,rht,token,3.0,nuq-quantile,3.0,70.79620361,389.750244,13.36188889,2.0
0,rht,token,3.0,nuq-kmeans,3.0,36.56199265,63.995979,0.50984162,2.0
0,rht,token,3.5,uniform,3.4594,18.33800507,171.860855,31.05686378,0.0
0,rht,token,3.5,nuq-quantile,3.4594,45.19628525,94.010834,19.59935188,2.75
0,rht,token,3.5,nuq-kmeans,3.4594,29.25786209,136.666504,27.82487679,2.75
0,rht,token,4.0,uniform,4.0,9.32364178,215.103195,34.48018646,0.0
0,rht,token,4.0,nuq-quantile,4.0,31.91820908,168.114853,13.79717636,4.0
0,rht,token,4.0,nuq-kmeans,4.0,14.13402748,199.790939,23.57844734,4.0
0,rht,channel,2.5,uniform,2.585,1.083498,5.368116,0.20042898,0.0
0,rht,channel,2.5,nuq-quantile,2.585,0.06229113,4.672532,0.15678668,0.046875
0,rht,channel,2.5,nuq-kmeans,2.585,0.04311467,4.372325,0.15903306,0.046875
0,rht,channel,3.0,uniform,3.0,0.90198892,4.149694,0.14536476,0.0
0,rht,channel,3.0,nuq-quantile,3.0,0.04500011,3.782321,0.12215006,0.0625
0,rht,channel,3.0,nuq-kmeans,3.0,0.02664062,3.058866,0.07739655,0.0625
0,rht,channel,3.5,uniform,3.4594,0.75956297,3.14536,0.08385508,0.0
0,rht,channel,3.5,nuq-quantile,3.4594,0.05205752,3.457884,0.12200281,0.085938
0,rht,channel,3.5,nuq-kmeans,3.4594,0.0202617,2.309028,0.04807164,0.085938
0,rht,channel,4.0,uniform,4.0,0.52068049,2.089931,0.03286279,0.0
0,rht,channel,4.0,nuq-quantile,4.0,0.01989652,2.180149,0.03622964,0.125
0,rht,channel,4.0,nuq-kmeans,4.0,0.00955366,1.575462,0.03237782,0.125
11,none,token,2.5,uniform,2.585,0.80010998,15.122436,1.74238789,0.0
11,none,token,2.5,nuq-quantile,2.585,1.53056073,43.972443,1.42273176,1.5
11,none,token,2.5,nuq-kmeans,2.585,0.44804856,25.174667,1.33165097,1.5
11,none,token,3.0,uniform,3.0,0.42336842,10.565714,0.57742721,0.0
11,none,token,3.0,nuq-quantile,3.0,1.13570487,40.462193,1.346017,2.0
11,none,token,3.0,nuq-kmeans,3.0,0.29873061,21.874813,1.06335235,2.0
11,none,token,3.5,uniform,3.4594,0.20932494,7.529527,0.29468131,0.0
11,none,token,3.5,nuq-quantile,3.4594,0.80586743,35.926777,1.19268465,2.75
11,none,token,3.5,nuq-kmeans,3.4594,0.20868446,19.319546,1.02015924,2.75
11,none,token,4.0,uniform,4.0,0.09268885,4.982313,0.15582404,0.0
11,none,token,4.0,nuq-quantile,4.0,0.48993754,34.998825,1.10294819,4.0
11,none,token,4.0,nuq-kmeans,4.0,0.14557958,17.114229,0.87962341,4.0
11,none,channel,2.5,uniform,2.585,0.47146997,8.287679,0.38622516,0.0
11,none,channel,2.5,nuq-quantile,2.585,0.54431379,5.461201,1.78622913,0.046875
11,none,channel,2.5,nuq-kmeans,2.585,0.23951986,4.493836,1.43221533,0.046875
11,none,channel,3.0,uniform,3.0,0.26064283,6.024579,0.18046641,0.0
11,none,channel,3.0,nuq-quantile,3.0,0.36538655,4.513735,1.59415221,0.0625
11,none,channel,3.0,nuq-kmeans,3.0,0.14929596,3.563354,1.28631437,0.0625
11,none,channel,3.5,uniform,3.4594,0.12584241,4.443432,0.09951639,0.0
11,none,channel,3.5,nuq-quantile,3.4594,0.21588209,3.824697,1.46835554,0.085938
11,none,channel,3.5,nuq-kmeans,3.4594,0.08599903,2.87721,1.18473268,0.085938
11,none,channel,4.0,uniform,4.0,0.05744531,2.878533,0.04762167,0.0
11,none,channel,4.0,nuq-quantile,4.0,0.12427451,3.134005,1.33411491,0.125
11,none,channel,4.0,nuq-kmeans,4.0,0.05074323,2.481096,1.17666984,0.125
11,rht,token,2.5,uniform,2.585,0.51762962,12.307721,0.76359475,0.0
11,rht,token,2.5,nuq-quantile,2.585,0.59798634,13.535431,0.62729704,1.5
11,rht,token,2.5,nuq-kmeans,2.585,0.33696431,10.169526,0.68506074,1.5
11,rht,token,3.0,uniform,3.0,0.26425257,9.536224,0.42434078,0.0
11,rht,token,3.0,nuq-quantile,3.0,0.39528406,11.235191,0.45184353,2.0
11,rht,token,3.0,nuq-kmeans,3.0,0.19972816,7.706845,0.3984772,2.0
11,rht,token,3.5,uniform,3.4594,0.12958623,6.716553,0.36974627,0.0
11,rht,token,3.5,nuq-quantile,3.4594,0.25599337,9.24485,0.27767378,2.75
11,rht,token,3.5,nuq-kmeans,3.4594,0.12004009,5.928884,0.16273902,2.75
11,rht,token,4.0,uniform,4.0,0.05770836,4.613976,0.11303756,0.0
11,rht,token,4.0,nuq-quantile,4.0,0.16082901,8.33639,0.19957633,4.0
11,rht,token,4.0,nuq-kmeans,4.0,0.06408966,4.60549,0.11231225,4.0
11,rht,channel,2.5,uniform,2.585,0.49228039,7.811101,0.40005574,0.0
11,rht,channel,2.5,nuq-quantile,2.585,0.46976152,5.573199,0.71487916,0.046875
11,rht,channel,2.5,nuq-kmeans,2.585,0.24811177,4.859067,0.51387823,0.046875
11,rht,channel,3.0,uniform,3.0,0.25385967,5.555133,0.18989287,0.0
11,rht,channel,3.0,nuq-quantile,3.0,0.31214106,4.7127,0.59242338,0.0625
11,rht,channel,3.0,nuq-kmeans,3.0,0.15175226,3.968511,0.40143117,0.0625
11,rht,channel,3.5,uniform,3.4594,0.12310676,3.900481,0.13118598,0.0
11,rht,channel,3.5,nuq-quantile,3.4594,0.19898999,3.844021,0.45632157,0.085938
11,rht,channel,3.5,nuq-kmeans,3.4594,0.0903013,2.98618,0.14698374,0.085938
11,rht,channel,4.0,uniform,4.0,0.05583086,2.68637,0.04972807,0.0
11,rht,channel,4.0,nuq-quantile,4.0,0.11247331,2.978434,0.38162574,0.125
11,rht,channel,4.0,nuq-kmeans,4.0,0.0501815,2.329344,0.0983905,0.125
23,none,token,2.5,uniform,2.585,0.67914623,8.696521,0.48834777,0.0
23,none,token,2.5,nuq-quantile,2.585,1.2912432,15.29886,0.46197063,1.5
23,none,token,2.5,nuq-kmeans,2.585,0.35295111,7.960677,0.31570587,1.5
23,none,token,3.0,uniform,3.0,0.34172067,6.575838,0.24461085,0.0
23,none,token,3.0,nuq-quantile,3.0,0.98593163,14.126759,0.33851689,2.0
23,none,token,3.0,nuq-kmeans,3.0,0.24033955,6.755157,0.23254496,2.0
23,none,token,3.5,uniform,3.4594,0.16773072,4.579497,0.12603843,0.0
23,none,token,3.5,nuq-quantile,3.4594,0.64685339,12.346831,0.29053679,2.75
23,none,token,3.5,nuq-kmeans,3.4594,0.16694669,5.708286,0.17900091,2.75
23,none,token,4.0,uniform,4.0,0.07352367,2.99674,0.05802543,0.0
23,none,token,4.0,nuq-quantile,4.0,0.38019207,9.84827,0.22797331,4.0
23,none,token,4.0,nuq-kmeans,4.0,0.11559547,4.739961,0.09962381,4.0
23,none,channel,2.5,uniform,2.585,0.21237224,4.357528,0.15078662,0.0
23,none,channel,2.5,nuq-quantile,2.585,0.12954135,3.713036,0.32440954,0.046875
23,none,channel,2.5,nuq-kmeans,2.585,0.09334317,2.854596,0.17230016,0.046875
23,none,channel,3.0,uniform,3.0,0.10733729,3.373792,0.073846,0.0
23,none,channel,3.0,nuq-quantile,3.0,0.08178637,2.886852,0.22221525,0.0625
23,none,channel,3.0,nuq-kmeans,3.0,0.05354925,2.341788,0.16186644,0.0625
23,none,channel,3.5,uniform,3.4594,0.0550162,2.306999,0.03803325,0.0
23,none,channel,3.5,nuq-quantile,3.4594,0.05212563,2.383934,0.17826068,0.085938
23,none,channel,3.5,nuq-kmeans,3.4594,0.03010828,1.824568,0.13777114,0.085938
23,none,channel,4.0,uniform,4.0,0.02344386,1.575292,0.01731642,0.0
23,none,channel,4.0,nuq-quantile,4.0,0.02782081,1.836452,0.1480263,0.125
23,none,channel,4.0,nuq-kmeans,4.0,0.01602781,1.288848,0.05998082,0.125
23,rht,token,2.5,uniform,2.585,0.36230206,6.879525,0.27309945,0.0
23,rht,token,2.5,nuq-quantile,2.585,0.39657155,6.249715,0.15407638,1.5
23,rht,token,2.5,nuq-kmeans,2.585,0.23761529,4.923131,0.13653608,1.5
23,rht,token,3.0,uniform,3.0,0.18708889,4.62442,0.14576204,0.0
23,rht,token,3.0,nuq-quantile,3.0,0.28221351,4.968559,0.11952849,2.0
23,rht,token,3.0,nuq-kmeans,3.0,0.1427543,3.625103,0.08157302,2.0
23,rht,token,3.5,uniform,3.4594,0.09022681,3.296486,0.06140327,0.0
23,rht,token,3.5,nuq-quantile,3.4594,0.19158792,4.287581,0.06741205,2.75
23,rht,token,3.5,nuq-kmeans,3.4594,0.0785303,2.741298,0.04816172,2.75
23,rht,token,4.0,uniform,4.0,0.04115036,2.25114,0.03489487,0.0
23,rht,token,4.0,nuq-quantile,4.0,0.12403972,3.176506,0.04713695,4.0
23,rht,token,4.0,nuq-kmeans,4.0,0.04036801,1.857587,0.02303049,4.0
23,rht,channel,2.5,uniform,2.585,0.2194353,3.44417,0.09299276,0.0
23,rht,channel,2.5,nuq-quantile,2.585,0.13326487,3.069361,0.15187496,0.046875
23,rht,channel,2.5,nuq-kmeans,2.585,0.10088938,2.262029,0.07171323,0.046875
23,rht,channel,3.0,uniform,3.0,0.11196723,2.509817,0.04679824,0.0
23,rht,channel,3.0,nuq-quantile,3.0,0.0868706,2.5019,0.1136062,0.0625
23,rht,channel,3.0,nuq-kmeans,3.0,0.05755468,1.747134,0.0471486,0.0625
23,rht,channel,3.5,uniform,3.4594,0.05628179,1.788888,0.02152063,0.0
23,rht,channel,3.5,nuq-quantile,3.4594,0.05736888,2.014573,0.08621121,0.085938
23,rht,channel,3.5,nuq-kmeans,3.4594,0.03209283,1.377792,0.03359517,0.085938
23,rht,channel,4.0,uniform,4.0,0.02429054,1.184514,0.01049434,0.0
23,rht,channel,4.0,nuq-quantile,4.0,0.0296112,1.48761,0.05031168,0.125
23,rht,channel,4.0,nuq-kmeans,4.0,0.0167025,0.993431,0.02261998,0.125
